75 3
       1, 1, 0.0
       1, 2, 0.0
       1, 3, 0.0
     202, 1, 0.0
     202, 2, 0.0
     202, 3, 0.0
     403, 1, 0.0
     403, 2, 0.0
     403, 3, 0.0
     604, 1, 0.0
     604, 2, 0.0
     604, 3, 0.0
     805, 1, 0.0
     805, 2, 0.0
     805, 3, 0.0
    1006, 1, 0.0
    1006, 2, 0.0
    1006, 3, 0.0
    1207, 1, 0.0
    1207, 2, 0.0
    1207, 3, 0.0
    1408, 1, 0.0
    1408, 2, 0.0
    1408, 3, 0.0
    1609, 1, 0.0
    1609, 2, 0.0
    1609, 3, 0.0
    1810, 1, 0.0
    1810, 2, 0.0
    1810, 3, 0.0
    2011, 1, 0.0
    2011, 2, 0.0
    2011, 3, 0.0
    2212, 1, 0.0
    2212, 2, 0.0
    2212, 3, 0.0
    2413, 1, 0.0
    2413, 2, 0.0
    2413, 3, 0.0
    2614, 1, 0.0
    2614, 2, 0.0
    2614, 3, 0.0
    2815, 1, 0.0
    2815, 2, 0.0
    2815, 3, 0.0
    3016, 1, 0.0
    3016, 2, 0.0
    3016, 3, 0.0
    3217, 1, 0.0
    3217, 2, 0.0
    3217, 3, 0.0
    3418, 1, 0.0
    3418, 2, 0.0
    3418, 3, 0.0
    3619, 1, 0.0
    3619, 2, 0.0
    3619, 3, 0.0
    3820, 1, 0.0
    3820, 2, 0.0
    3820, 3, 0.0
    4021, 1, 0.0
    4021, 2, 0.0
    4021, 3, 0.0
    4222, 1, 0.0
    4222, 2, 0.0
    4222, 3, 0.0
    4423, 1, 0.0
    4423, 2, 0.0
    4423, 3, 0.0
    4624, 1, 0.0
    4624, 2, 0.0
    4624, 3, 0.0
    4825, 1, 0.0
    4825, 2, 0.0
    4825, 3, 0.0
